"","Breast","CNS","Colon","Leukemia","Melanoma","Non-Small Cell Lung","Ovarian","Renal","no_Breast","no_CNS","no_Colon","no_Leukemia","no_Melanoma","no_Non-Small Cell Lung","no_Ovarian","no_Renal"
"POM121C",0.666666666666667,0.666666666666667,0.714285714285714,0.166666666666667,0.777777777777778,0.666666666666667,0.571428571428571,0.75,0.611111111111111,0.611111111111111,0.60377358490566,0.666666666666667,0.588235294117647,0.607843137254902,0.622641509433962,0.596153846153846
"A2ML1",0.166666666666667,0.166666666666667,0,0,0.111111111111111,0.111111111111111,0.142857142857143,0.375,0.12962962962963,0.12962962962963,0.150943396226415,0.148148148148148,0.137254901960784,0.137254901960784,0.132075471698113,0.0961538461538462
"DDX11L8",1,1,0.857142857142857,0.833333333333333,1,0.888888888888889,1,1,0.944444444444444,0.944444444444444,0.962264150943396,0.962962962962963,0.941176470588235,0.96078431372549,0.943396226415094,0.942307692307692
"YDJC",0.5,1,0.714285714285714,0.666666666666667,0.888888888888889,0.777777777777778,0.571428571428571,0.5,0.740740740740741,0.685185185185185,0.716981132075472,0.722222222222222,0.686274509803922,0.705882352941177,0.735849056603774,0.75
"ZNF891",0.833333333333333,0.666666666666667,0.857142857142857,0.833333333333333,1,0.777777777777778,0.857142857142857,1,0.87037037037037,0.888888888888889,0.867924528301887,0.87037037037037,0.843137254901961,0.882352941176471,0.867924528301887,0.846153846153846
"GT3",1,1,1,1,1,1,0.857142857142857,0.875,0.962962962962963,0.962962962962963,0.962264150943396,0.962962962962963,0.96078431372549,0.96078431372549,0.981132075471698,0.980769230769231
"HMSD",0.833333333333333,1,1,1,0.777777777777778,0.888888888888889,0.857142857142857,1,0.925925925925926,0.907407407407407,0.905660377358491,0.907407407407407,0.941176470588235,0.92156862745098,0.924528301886792,0.903846153846154
"PHF20L1",0.333333333333333,0.833333333333333,0.571428571428571,0.5,0.444444444444444,0.666666666666667,0.428571428571429,0.375,0.518518518518518,0.462962962962963,0.490566037735849,0.5,0.509803921568627,0.470588235294118,0.509433962264151,0.519230769230769
"SNRPG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NUDT19",0,0,0,0.166666666666667,0,0,0.142857142857143,0,0.037037037037037,0.037037037037037,0.0377358490566038,0.0185185185185185,0.0392156862745098,0.0392156862745098,0.0188679245283019,0.0384615384615385
"CXorf49",0.166666666666667,0.666666666666667,0.428571428571429,1,0.555555555555556,0.444444444444444,0.428571428571429,0.625,0.574074074074074,0.518518518518518,0.547169811320755,0.481481481481481,0.529411764705882,0.549019607843137,0.547169811320755,0.519230769230769
"GOLGA6L6",0.5,0.166666666666667,1,1,0.333333333333333,0.666666666666667,0.428571428571429,0.5,0.592592592592593,0.62962962962963,0.528301886792453,0.537037037037037,0.627450980392157,0.568627450980392,0.60377358490566,0.596153846153846
"MIF4GD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYO1G",0,0,0,0,0.111111111111111,0.111111111111111,0,0.125,0.0740740740740741,0.0740740740740741,0.0754716981132075,0.0740740740740741,0.0588235294117647,0.0588235294117647,0.0754716981132075,0.0576923076923077
"ESPN",0.166666666666667,0,0,0.333333333333333,0,0.222222222222222,0,0.25,0.111111111111111,0.12962962962963,0.132075471698113,0.0925925925925926,0.137254901960784,0.0980392156862745,0.132075471698113,0.0961538461538462
"WDR64",0.166666666666667,0,0.142857142857143,0.166666666666667,0.111111111111111,0.333333333333333,0.142857142857143,0.125,0.166666666666667,0.185185185185185,0.169811320754717,0.166666666666667,0.176470588235294,0.137254901960784,0.169811320754717,0.173076923076923
