"","Breast","CNS","Colon","Leukemia","Melanoma","Non-Small Cell Lung","Ovarian","Renal"
"ATP6V1G1",0,0,0,0,0,0,0,0
"VPS4B",0,0,0,0,0,0,0,0
"MPDU1",0.333333333333333,0,0.142857142857143,0.166666666666667,0,0.444444444444444,0.428571428571429,0.5
"ENTPD6",1,0.833333333333333,0.857142857142857,1,0.888888888888889,0.888888888888889,0.857142857142857,1
"ENTPD5",0.166666666666667,0.166666666666667,0.142857142857143,0.333333333333333,0,0.222222222222222,0.142857142857143,0
"ZNF217",0,0.166666666666667,0.142857142857143,0,0,0.111111111111111,0,0
"BCAS1",0.666666666666667,0.666666666666667,0.714285714285714,0.666666666666667,0.777777777777778,0.888888888888889,0.857142857142857,0.625
"H2AFY",0,0,0,0,0,0,0,0
"SH3BGRL",0,0,0.142857142857143,0,0,0.111111111111111,0,0
"FLNB",0,0,0.142857142857143,0.5,0.333333333333333,0.111111111111111,0,0.125
"NCOR1",0,0,0,0,0,0,0,0
"VAMP4",0.5,0.5,0.714285714285714,0.333333333333333,0.666666666666667,0.666666666666667,1,0.75
"NDUFS6",0,0,0,0,0,0,0,0
"PEX14",0.333333333333333,0.166666666666667,0,0,0,0.333333333333333,0.142857142857143,0.25
"TRIM3",0,0.166666666666667,0.285714285714286,0.833333333333333,0,0.111111111111111,0.285714285714286,0.125
"ULK1",0.5,0.5,0.571428571428571,0.333333333333333,0.777777777777778,0.222222222222222,0.428571428571429,0.625
"TULP3",0.5,0.333333333333333,0.428571428571429,0.666666666666667,0.555555555555556,0.555555555555556,0.142857142857143,0.5
"CS",0,0,0,0,0,0,0,0
"SPAG7",0,0,0,0,0,0,0,0
"MRPL33",0,0,0,0,0,0,0,0
"SEC22B",0,0,0,0,0,0,0,0
"PRPF40A",0,0,0,0,0,0,0,0
"TACC1",0,0,0,0,0,0,0,0
"NME6",0.5,0.833333333333333,0.428571428571429,0.5,0.555555555555556,0.333333333333333,0.714285714285714,0.375
"CDC45",0,0,0,0,0,0.111111111111111,0,0.375
"GIGYF1",0,0,0.142857142857143,0,0.111111111111111,0,0,0
"LRCH4",0.333333333333333,0.833333333333333,0.714285714285714,0,0.333333333333333,0.555555555555556,0.714285714285714,0.625
"MTX2",0,0,0,0,0,0,0,0
"VPS26A",0,0,0,0,0,0,0,0
"NDUFB1",0.833333333333333,1,0.571428571428571,0.166666666666667,0.777777777777778,0.555555555555556,0.571428571428571,0.75
"PMPCB",0,0,0,0,0,0,0,0
"MAF",1,1,0.857142857142857,0.666666666666667,0.777777777777778,0.888888888888889,1,1
"SAP30",0,0,0,0,0,0,0,0
"MED24",0,0,0,0,0,0,0,0
"KAT1",0,0,0,0,0,0,0,0
"PAGE1",1,0.666666666666667,0.857142857142857,0.5,0.888888888888889,0.666666666666667,0.857142857142857,0.875
"E2F6",0.5,0.5,0,0.333333333333333,0.555555555555556,0.444444444444444,0.571428571428571,0.625
"PSIP1",0,0,0,0,0,0,0,0
"ERLIN1",0.333333333333333,0.5,0.142857142857143,0.333333333333333,0.222222222222222,0.666666666666667,0.571428571428571,0.75
"SUPT3H",0.833333333333333,1,0.571428571428571,0.5,0.333333333333333,0.777777777777778,0.857142857142857,0.5
"GPC4",0.166666666666667,0.166666666666667,0.142857142857143,0.666666666666667,0,0.111111111111111,0,0.125
"NDUFS3",0,0,0,0,0,0,0,0
"SRSF10",0,0,0,0,0,0,0,0
"GMNN",0,0,0,0,0.111111111111111,0,0,0.125
"CLN5",0.166666666666667,0.166666666666667,0.142857142857143,0.166666666666667,0,0,0,0
"HSBP1",0,0,0,0,0,0,0,0
"ECI2",0,0,0.285714285714286,0,0,0,0,0
"KHDRBS3",0,0,0,0,0,0,0,0
"RBMXL2",1,0.833333333333333,0.857142857142857,1,0.888888888888889,1,1,1
"TADA3",0,0,0,0,0,0,0,0
"TAF5L",0,0.166666666666667,0,0.166666666666667,0,0.111111111111111,0,0
"EED",0,0,0,0,0,0,0,0
"BANF1",0,0,0,0,0,0,0,0
"SF3B1",0,0,0,0,0,0,0,0
"CSDE1",0,0,0,0,0,0,0,0
"WBP4",0,0,0,0,0,0,0,0
"STX11",1,1,0.857142857142857,0.833333333333333,0.888888888888889,0.777777777777778,1,1
"SKAP2",0.833333333333333,0.5,0.857142857142857,0.333333333333333,0.444444444444444,0.666666666666667,0.714285714285714,0.625
"PRKRA",0,0,0,0,0,0,0,0
"MTRF1",1,1,0.142857142857143,0,0.666666666666667,0.333333333333333,0.571428571428571,0.625
"CRCP",0,0.166666666666667,0,0,0,0,0,0
"RPS6KA5",0,0,0,0,0,0.222222222222222,0,0
"MED6",0,0,0,0,0,0,0,0
"MYCBP2",0,0,0,0,0,0,0,0
"GCAT",0,0.166666666666667,0,0,0,0.333333333333333,0.285714285714286,0.625
"NPM3",0,0,0,0,0,0,0,0
"LYPLA1",0,0,0,0,0,0,0,0
"ERAL1",0,0,0,0,0,0,0,0
"CREG1",0.5,0.333333333333333,0.142857142857143,0,0.222222222222222,0.111111111111111,0,0.25
"SERPINB7",0.166666666666667,0.166666666666667,0.571428571428571,0.333333333333333,0,0.111111111111111,0.571428571428571,0.25
"CTAG2",1,1,1,1,0.888888888888889,0.888888888888889,1,1
"SNRNP200",0,0,0,0,0,0,0,0
"TRMU",0.333333333333333,0.833333333333333,0,0.166666666666667,0.222222222222222,0.222222222222222,0.142857142857143,0.375
"TIPRL",0,0,0,0,0,0,0,0
"OFD1",0,0,0,0,0,0,0,0.125
"TOM1L1",0.833333333333333,0.833333333333333,1,0.833333333333333,0.666666666666667,0.777777777777778,0.857142857142857,0.625
"RPS6KA4",0,0,0,0.166666666666667,0.222222222222222,0,0,0
"SURF6",0,0,0,0,0,0,0,0
"PPM1B",0,0,0,0,0,0,0,0
"ADAP1",0.833333333333333,0.5,0,0.5,0.666666666666667,0.555555555555556,0.142857142857143,0.75
"UTP20",0,0,0,0,0,0,0,0
"NUP155",0,0,0,0,0,0,0,0
"RP2",0.666666666666667,0.333333333333333,0.571428571428571,0,0.555555555555556,0.666666666666667,0.857142857142857,0.375
"WDHD1",0,0,0,0,0,0,0,0
"CRTAP",0,0,0,0,0,0,0,0
"SLC25A12",0.5,0.5,0.714285714285714,0.333333333333333,0.444444444444444,0.444444444444444,0.714285714285714,0.625
"TCEA3",0,1,0.857142857142857,0.833333333333333,0.666666666666667,0.444444444444444,0.571428571428571,0.25
"RAD51D",0.833333333333333,0.833333333333333,0.285714285714286,0.333333333333333,0.333333333333333,0.444444444444444,0.428571428571429,0.375
"PALM",0.833333333333333,0.666666666666667,1,1,1,0.666666666666667,0.714285714285714,1
"ATP6AP2",0.166666666666667,0,0,0.166666666666667,0.222222222222222,0.333333333333333,0.142857142857143,0.625
"GRAP2",0.833333333333333,0.833333333333333,0.571428571428571,0.5,0.777777777777778,0.444444444444444,0.714285714285714,0.5
"RSEH2A",0,0,0,0,0,0,0,0
"CDC123",0,0,0,0,0,0,0,0
"CAPN15",0.333333333333333,0.833333333333333,0.285714285714286,0,0.111111111111111,0.333333333333333,0.285714285714286,0.5
"BCAR3",0,0,0.428571428571429,0.666666666666667,0,0.111111111111111,0,0
"POP7",0,0,0,0,0,0,0,0.125
"RPP40",0,0,0,0,0,0,0,0
"EIF3G",0,0,0,0,0,0,0,0
"EIF3J",0,0,0,0,0,0,0,0
"CBR3",0,0,0,0,0,0,0,0
"PSMD10",0,0,0,0,0,0,0,0
"KLF7",1,0.666666666666667,0.714285714285714,1,1,1,0.428571428571429,0.875
"AP1G2",0,0.166666666666667,0,0,0,0.111111111111111,0,0
"ZMPSTE24",0.333333333333333,0.166666666666667,0,0.166666666666667,0.222222222222222,0.111111111111111,0.142857142857143,0.5
"PPP1R37",0.166666666666667,0,0.571428571428571,0.333333333333333,0,0.222222222222222,0.142857142857143,0
"TRAPPC6A",0.166666666666667,0,0.142857142857143,0,0.444444444444444,0.222222222222222,0.428571428571429,0.375
"IDH1",0,0,0,0,0,0,0,0
"GATB",0.5,0.666666666666667,0.142857142857143,0,0.222222222222222,0.222222222222222,0.428571428571429,0.25
"SCO1",0.5,0.833333333333333,0,0.166666666666667,0.111111111111111,0.111111111111111,0.428571428571429,0.5
"ATRN",0.666666666666667,0.166666666666667,0.714285714285714,0.333333333333333,0.444444444444444,0.444444444444444,0.714285714285714,0.5
"RBBP9",0,0,0,0.166666666666667,0,0,0,0
"STAM2",0,0,0,0,0,0,0,0
"ALDH1L1",0.166666666666667,0,0.571428571428571,0.333333333333333,0.555555555555556,0.333333333333333,0.142857142857143,0.125
"DGAT1",0.666666666666667,1,0.714285714285714,1,1,1,0.857142857142857,0.875
"CCNK",0,0,0,0,0,0,0,0
"DHRS3",0.5,1,0.857142857142857,0.666666666666667,0.777777777777778,0.666666666666667,0.428571428571429,0.625
"PAK3",0.833333333333333,0.833333333333333,1,1,1,0.777777777777778,0.857142857142857,0.75
"ARL6IP5",0,0.166666666666667,0,0,0,0.111111111111111,0.285714285714286,0
"DYSF",0.5,0.666666666666667,0.285714285714286,0.5,0.333333333333333,0.555555555555556,0.428571428571429,0.125
"PIAS1",0,0,0,0,0.111111111111111,0.333333333333333,0,0.125
"PIAS2",0.333333333333333,0.333333333333333,0.285714285714286,0.166666666666667,0.111111111111111,0.111111111111111,0.571428571428571,0.625
"BCAS2",0,0,0,0,0,0,0,0
"DCTN3",0,0,0,0,0,0,0,0
"BBOX1",0.333333333333333,0.666666666666667,0.571428571428571,0.333333333333333,0.666666666666667,0.222222222222222,0.714285714285714,0.75
"DJC8",0,0,0,0,0,0,0,0
"SMNDC1",0,0,0,0,0,0,0,0
"RAD17",0.166666666666667,0,0,0,0,0.111111111111111,0,0.125
"ATP5H",0,0,0,0,0,0,0,0.125
"DJB5",0.333333333333333,0.166666666666667,0.428571428571429,0.666666666666667,0.444444444444444,0.222222222222222,0.142857142857143,0.375
"FLOT1",0,0,0,0,0,0,0.142857142857143,0
"TRIO",0,0,0,0,0,0,0,0
"ATP5L",0.166666666666667,0.666666666666667,0.142857142857143,0,0,0.111111111111111,0,0.5
"MPDZ",0,0,0.142857142857143,0.166666666666667,0,0,0,0
"CPD",0,0,0,0,0,0,0.142857142857143,0
"SASH3",1,1,1,0.333333333333333,0.666666666666667,0.666666666666667,0.714285714285714,0.375
"GLRX3",0,0,0,0,0,0,0,0
"RSL1D1",0,0,0,0,0,0,0,0
"WFS1",0,0.166666666666667,0.285714285714286,0.166666666666667,0.222222222222222,0,0.428571428571429,0.125
"ANXA9",0.333333333333333,1,0.428571428571429,0.333333333333333,0.333333333333333,0.444444444444444,0.142857142857143,0.5
"CLPX",0,0,0,0,0,0,0,0
"NEBL",1,0.833333333333333,0.857142857142857,0.666666666666667,0.777777777777778,0.444444444444444,1,0.875
"SEC14L2",0.166666666666667,0.166666666666667,0.142857142857143,0.666666666666667,0.111111111111111,0,0,0
"STC2",0.166666666666667,0.166666666666667,0.714285714285714,0.666666666666667,0.333333333333333,0.444444444444444,0.857142857142857,0.125
"RNF8",0.833333333333333,1,1,1,1,0.888888888888889,0.857142857142857,1
"SNCG",0.333333333333333,0.666666666666667,0.285714285714286,0.333333333333333,0.444444444444444,0.222222222222222,0.428571428571429,0.125
"CIAO1",0,0,0,0,0,0,0,0
"PDE5A",0.166666666666667,0,0,0.166666666666667,0,0.111111111111111,0,0.125
"DFFB",0.5,0.666666666666667,0,0,0.222222222222222,0.777777777777778,0.285714285714286,0.625
"ZFAND5",0,0,0,0,0,0,0,0
"RGS20",1,0.5,0.857142857142857,0.833333333333333,0.555555555555556,0.555555555555556,0.857142857142857,0.75
"FGF18",1,1,1,1,1,1,0.857142857142857,1
"SRP72",0,0,0,0,0,0,0,0
"JTB",0.666666666666667,0.666666666666667,0.857142857142857,0.333333333333333,0.777777777777778,0.555555555555556,0.714285714285714,0.75
"CST7",1,1,0.714285714285714,0.666666666666667,0.888888888888889,0.888888888888889,1,1
"DXO",0,0,0.285714285714286,0.166666666666667,0.111111111111111,0,0,0.375
"DDAH1",0,0,0,0.166666666666667,0,0,0,0
"RECQL4",0.166666666666667,0,0.142857142857143,0,0.111111111111111,0.333333333333333,0.142857142857143,0.125
"RECQL5",0.333333333333333,0.333333333333333,0,0,0,0.222222222222222,0,0
"URI1",0,0,0,0,0,0,0,0
"B3GAT3",0.5,0.333333333333333,0.714285714285714,0.166666666666667,0.666666666666667,0.666666666666667,0.571428571428571,0.875
"STK17B",0.333333333333333,0.166666666666667,0,0,0.111111111111111,0.444444444444444,0.285714285714286,0
"MTA2",0,0,0,0,0,0,0,0
"USP1",0,0,0,0,0,0.111111111111111,0.142857142857143,0
"ALDH1A2",0,0.166666666666667,0,0,0,0,0,0.125
"STK10",0,0,0,0,0,0,0,0
"PRKD3",0,0,0,0,0,0,0,0
"GFPT2",0.333333333333333,0,0.142857142857143,0.333333333333333,0.333333333333333,0.111111111111111,0.285714285714286,0.25
"TPPP",1,0.833333333333333,0.714285714285714,0.833333333333333,0.666666666666667,0.777777777777778,0.571428571428571,0.875
"SLIT2",0.666666666666667,0,0.428571428571429,0.833333333333333,0.444444444444444,0.222222222222222,0.142857142857143,0.375
"ATG12",0,0,0,0,0,0,0,0
"KBTBD11",0.5,0.5,0,0.333333333333333,0.666666666666667,0.222222222222222,0.285714285714286,0.25
"LTN1",0,0,0.142857142857143,0,0,0,0,0
"ATP10B",0.5,0.666666666666667,0.142857142857143,0,0.444444444444444,0.444444444444444,0.285714285714286,0.25
"TOMM70A",0,0,0,0,0,0,0,0
"IPO13",0,0,0,0,0,0.111111111111111,0.285714285714286,0.125
"DDHD2",0,0,0,0,0,0,0,0
"MYO1D",0,0,0,0,0,0,0,0
"TOX4",0,0,0,0,0.222222222222222,0,0,0
"MICAL2",0,0.166666666666667,0.285714285714286,0.166666666666667,0.222222222222222,0.111111111111111,0.285714285714286,0.125
"KIAA0754",0.166666666666667,0.166666666666667,0.142857142857143,0.333333333333333,0.333333333333333,0.222222222222222,0.428571428571429,0.125
"SEC24D",0,0,0,0,0,0,0,0
"SUPT7L",0.166666666666667,0,0,0.166666666666667,0,0,0.285714285714286,0.125
"FCHSD2",0.333333333333333,0.666666666666667,0.714285714285714,0.166666666666667,0.666666666666667,0.666666666666667,0.285714285714286,0.5
"UFL1",0,0,0,0,0,0,0,0
"SORBS2",0.166666666666667,0.166666666666667,0,0.5,0,0.111111111111111,0.142857142857143,0.25
"TMCC1",0.5,0.333333333333333,0.428571428571429,0.166666666666667,0.555555555555556,0.444444444444444,0.714285714285714,0.75
"PHF14",0,0,0.142857142857143,0,0,0,0,0
"SASH1",0,0,0,0,0,0,0,0.125
"TMEM63A",0.333333333333333,0.333333333333333,0.285714285714286,0,0.111111111111111,0.333333333333333,0,0.125
"FARP2",0,0,0,0,0,0,0,0
"UBXN7",0,0,0,0,0,0,0,0
"KLHL18",0.666666666666667,0.666666666666667,0.285714285714286,0.333333333333333,0.333333333333333,0.666666666666667,0.857142857142857,0.75
"TOX",0.5,0.5,1,0.666666666666667,1,0.888888888888889,0.714285714285714,1
"SUN1",0.166666666666667,0.333333333333333,0.428571428571429,0,0.555555555555556,0.444444444444444,0.142857142857143,0.375
"PROSC",0,0,0,0,0,0,0,0
"ERLIN2",0,0,0,0,0,0,0,0
"PRPF6",0,0,0,0,0,0,0,0
"DKK1",0.333333333333333,0.166666666666667,0.571428571428571,0.833333333333333,0.666666666666667,0.444444444444444,0.571428571428571,0.75
"PCF11",0,0,0,0,0,0,0,0
"FRYL",0,0,0,0,0,0,0,0
"NFAT5",0,0,0,0,0,0,0,0
"ENDOD1",1,1,0.857142857142857,1,0.777777777777778,0.777777777777778,0.857142857142857,0.875
"GLCE",0.5,0.666666666666667,0.285714285714286,0.333333333333333,0.777777777777778,0.222222222222222,0.428571428571429,0.5
"GLS",0,0,0,0,0,0,0,0
"HAUS5",0,0,0,0,0,0,0,0
"ABLIM3",0.666666666666667,1,0.142857142857143,0.666666666666667,1,0.444444444444444,0.428571428571429,0.25
"UBOX5",0.666666666666667,0.833333333333333,0.285714285714286,0.166666666666667,0.666666666666667,0.777777777777778,0.714285714285714,0.625
"FBXO21",0,0,0,0,0,0,0,0
"KDM4B",0.166666666666667,0,0.142857142857143,0,0.111111111111111,0.333333333333333,0.142857142857143,0.125
"RHOBTB3",0.666666666666667,0.666666666666667,0.857142857142857,0.666666666666667,0.777777777777778,0.777777777777778,0.571428571428571,0.75
"SOGA1",0,0,0,0,0,0,0,0
"USP19",0,0,0,0,0,0,0,0
"WDR47",0,0,0,0,0,0,0,0
"TRIM37",0.166666666666667,0,0.285714285714286,0.5,0,0.111111111111111,0,0.125
"AP2A2",0,0,0,0,0,0,0,0
"SEC31A",0,0,0,0,0,0,0,0
"CLSTN1",0.333333333333333,0.5,0.428571428571429,0.5,0.555555555555556,0.555555555555556,0.285714285714286,0.375
"CEP152",0,0,0.142857142857143,0,0,0.111111111111111,0,0.125
"HEXIM1",0,0,0,0,0,0,0,0
"SEMA3D",0.5,0.333333333333333,0.285714285714286,0.5,0.222222222222222,0.333333333333333,0.285714285714286,0.25
"TJP3",0.166666666666667,0.166666666666667,0,0.166666666666667,0.222222222222222,0,0.142857142857143,0.125
"DIRAS1",1,1,0.857142857142857,1,0.777777777777778,0.888888888888889,1,0.875
"RPP14",0,0,0,0,0,0,0,0
"CCNB2",0,0,0.142857142857143,0,0,0.111111111111111,0,0.125
"YIF1A",0,0,0.142857142857143,0,0,0,0,0.125
"UBR5",0,0,0,0,0,0,0,0
"AGFG2",0,0,0.142857142857143,0,0.111111111111111,0,0.142857142857143,0.375
"PRSS23",0.166666666666667,0,0.142857142857143,0.666666666666667,0,0.111111111111111,0,0
"SCAF4",0,0,0,0,0,0,0,0
"NDUFB6",0.666666666666667,1,0.714285714285714,0.333333333333333,0.888888888888889,0.777777777777778,0.857142857142857,0.875
"MFN2",0,0,0,0,0,0,0,0
"DUSP14",0.666666666666667,0.5,0.571428571428571,0.5,0.555555555555556,0.666666666666667,0.714285714285714,0.625
"SNUPN",0,0,0,0,0,0,0,0
"AKR7A3",0.666666666666667,0.666666666666667,0.285714285714286,0.666666666666667,0.666666666666667,0.777777777777778,0.714285714285714,0.75
"UBE4B",0,0,0,0,0,0,0,0
"ZFPL1",0,0,0,0,0,0,0,0
"IKBKAP",0,0,0,0,0,0,0,0
"UBL3",1,1,1,0.833333333333333,0.777777777777778,1,1,1
"GABARAP",0.333333333333333,0,0.285714285714286,0.5,0.222222222222222,0.222222222222222,0.142857142857143,0.125
"NDUFB4",0.333333333333333,0.333333333333333,0.142857142857143,0.166666666666667,0.111111111111111,0.111111111111111,0.142857142857143,0.875
"NDUFB8",0.833333333333333,1,0.714285714285714,0.833333333333333,1,1,1,0.875
"SCEL",0.666666666666667,0.833333333333333,0.714285714285714,0.666666666666667,0.666666666666667,0.777777777777778,0.714285714285714,0.875
"NDUFA7",0,0,0,0,0,0,0,0
"VAMP5",1,1,0.571428571428571,0.333333333333333,0.888888888888889,0.777777777777778,1,1
"RTN3",0,0.166666666666667,0.285714285714286,0,0.222222222222222,0.111111111111111,0,0.125
"RCBTB2",1,1,1,0.666666666666667,0.888888888888889,1,1,0.875
"LETM1",0.166666666666667,0,0,0,0,0,0,0
"EPN2",0,0,0,0.166666666666667,0,0,0,0
"ZRANB2",0,0,0,0,0,0,0,0
"SNX4",0,0,0,0,0,0,0,0
"ZWINT",0,0,0,0,0,0.111111111111111,0.142857142857143,0.25
"LUC7L3",0,0,0,0,0,0,0,0
"KIF20A",0,0,0,0,0,0,0,0
"APOL3",0.666666666666667,0.666666666666667,0.857142857142857,0.333333333333333,0.777777777777778,0.555555555555556,0.571428571428571,0.625
"KIF4A",0,0,0,0,0,0,0,0
"MBD4",0.833333333333333,0.666666666666667,0.571428571428571,0.5,0.333333333333333,0.444444444444444,0.142857142857143,0.25
"SBF1",0,0,0,0,0,0,0,0
"GOSR1",0,0,0,0,0,0,0.142857142857143,0
"KAT7",0,0,0,0,0,0,0,0
"ATE1",0.666666666666667,1,0.714285714285714,1,1,1,1,1
"TNKS",0,0,0,0.166666666666667,0,0.222222222222222,0.285714285714286,0.375
"CCNDBP1",0.166666666666667,0,0,0.166666666666667,0,0,0.142857142857143,0
"VAPB",0,0,0,0,0,0,0,0
"RASAL1",0,0.166666666666667,0.142857142857143,0.333333333333333,0.222222222222222,0,0.142857142857143,0.125
"SPIN",0,0,0,0,0,0,0,0
"MPZL1",0,0.166666666666667,0.714285714285714,0.166666666666667,0.111111111111111,0.111111111111111,0.285714285714286,0.5
"NDUFC2",0.833333333333333,0.833333333333333,1,0.166666666666667,0.555555555555556,0.666666666666667,0.571428571428571,0.75
"NDUFA10",0,0.166666666666667,0,0,0,0,0,0
"FKBP9",0,0,0,0.166666666666667,0,0,0,0
"CELF2",0.333333333333333,0.5,0.285714285714286,0,0.222222222222222,0.444444444444444,0.142857142857143,0.375
"PGLS",0,0,0,0,0,0,0,0
"PAPSS2",0,0,0.142857142857143,0,0,0,0,0
"ABCB11",0.5,0.5,0.428571428571429,0.666666666666667,0.555555555555556,0.333333333333333,0.428571428571429,0.125
"SMC2",0,0,0,0,0,0,0,0
"ATG7",0,0,0,0,0,0,0,0
"TACC2",0,0,0,0,0,0,0,0
"TRIM16",0,0,0,0.166666666666667,0.222222222222222,0,0,0
"FARS2",0.166666666666667,0.833333333333333,0.142857142857143,0,0.222222222222222,0.111111111111111,0.142857142857143,0.5
"ZBTB7A",0,0.166666666666667,0,0,0.111111111111111,0,0.142857142857143,0
"LYPLA2",0,0,0,0,0,0,0,0
"IPO7",0,0,0,0,0,0,0,0
"ARIH2",0,0,0,0,0,0,0,0
"TNFAIP8",0,0,0,0,0,0,0,0
"MAP3K6",0.166666666666667,0.166666666666667,0.428571428571429,0.333333333333333,0.222222222222222,0.444444444444444,0,0.5
"WISP1",1,0.833333333333333,1,0.833333333333333,1,1,1,1
"SLU7",0,0,0,0,0,0,0,0
"PGM3",0,0,0,0,0,0,0,0
"GCNT3",1,1,0.285714285714286,1,0.888888888888889,0.666666666666667,0.857142857142857,0.75
"MOCS3",0,0,0,0,0,0,0,0
"RAPGEF3",0.5,0.666666666666667,0.571428571428571,0.666666666666667,0.333333333333333,0.666666666666667,0.571428571428571,0.5
"CD2BP2",0,0,0,0,0,0,0,0
"ZFYVE9",0.666666666666667,0.5,0.857142857142857,0.833333333333333,0.444444444444444,0.666666666666667,0.714285714285714,0.625
"TNFRSF6B",0.833333333333333,1,0.428571428571429,0.666666666666667,0.666666666666667,0.777777777777778,0.428571428571429,0.5
"SVIL",0,0,0,0,0,0,0,0
"PAPLN",0.166666666666667,0,0.571428571428571,0.333333333333333,0.222222222222222,0.111111111111111,0.285714285714286,0.125
"BAG4",0,0,0,0,0,0,0,0
"AHSA1",0,0,0,0,0,0,0,0
"SLC34A2",0.5,0.333333333333333,0.285714285714286,0,0.222222222222222,0,0.285714285714286,0.125
"PARN",0,0,0,0,0,0,0,0
"PSMG1",0,0,0,0,0,0,0,0
"FMNL1",0,0,0,0,0,0,0,0
"SGPL1",1,0.5,0.571428571428571,1,1,0.555555555555556,0.714285714285714,0.625
"CLDN7",0.833333333333333,1,0.571428571428571,1,1,1,0.857142857142857,1
"ABCA1",0.833333333333333,0.333333333333333,0.714285714285714,0.166666666666667,0.444444444444444,0.666666666666667,0.285714285714286,0.375
"NSA2",0,0,0,0,0,0,0,0
"H6PD",0.166666666666667,0.166666666666667,0,0.166666666666667,0.222222222222222,0.111111111111111,0.142857142857143,0
"SEC24A",0,0,0,0,0,0,0,0
"SEC24B",0,0,0,0,0,0,0,0
"LPHN2",0,0.5,0,0.166666666666667,0.111111111111111,0,0,0.125
"NPTXR",1,1,1,1,1,1,0.714285714285714,0.875
"CBX6",0,0,0.285714285714286,0.166666666666667,0,0.111111111111111,0.285714285714286,0.125
"SLC2A10",0.833333333333333,0.833333333333333,0.714285714285714,1,0.888888888888889,1,0.857142857142857,0.75
"DK",0,0,0,0,0.111111111111111,0,0.285714285714286,0.375
"TDP2",0,0,0,0,0,0,0,0
"SFT2D2",0.5,0.5,0.285714285714286,0.333333333333333,0.333333333333333,0.555555555555556,0.428571428571429,0.875
"MPC2",0.666666666666667,0.666666666666667,0.714285714285714,0.5,1,1,0.857142857142857,0.75
"METTL18",0.166666666666667,0.166666666666667,0.142857142857143,0.166666666666667,0.222222222222222,0.222222222222222,0.285714285714286,0.375
"ETHE1",0,0,0,0,0,0,0,0
"ACSL3",0,0,0,0,0,0,0,0.125
"POLR1A",0,0,0,0,0,0,0,0
"PCNT",0,0,0,0,0,0,0,0
"YEATS4",0,0,0,0,0,0,0,0
"DUS4L",0.666666666666667,1,0.571428571428571,0.666666666666667,0.666666666666667,0.777777777777778,0.571428571428571,0.625
"ZBTB11",0,0.166666666666667,0,0,0.333333333333333,0.333333333333333,0.428571428571429,0.25
"CNOT4",0,0,0,0,0,0,0,0
"STAMBP",0,0,0,0,0,0,0,0
"NTN1",0.833333333333333,0.5,0.857142857142857,1,0.666666666666667,0.666666666666667,0.428571428571429,0.75
"FSTL3",0.833333333333333,0.666666666666667,1,1,0.888888888888889,0.777777777777778,0.857142857142857,1
"CPSF4",0,0,0,0,0,0,0,0
"NFATC1",1,1,0.857142857142857,0.333333333333333,0.888888888888889,0.888888888888889,0.714285714285714,0.625
"ASMTL",0,0,0,0,0.111111111111111,0,0,0
"CDS2",0.166666666666667,0.333333333333333,0.571428571428571,0.166666666666667,0.444444444444444,0.666666666666667,0.428571428571429,0.625
"EYA4",0.333333333333333,0,0.428571428571429,0.333333333333333,0.111111111111111,0.222222222222222,0.285714285714286,0.5
"FGFR1OP",0,0,0,0,0,0,0,0
"PPP1R3D",0,0,0,0,0,0,0,0
"BRD1",0,0,0,0,0,0,0,0
"POP4",0,0,0,0,0,0,0,0
"HERC2",0,0,0,0,0,0,0,0
"RAB3D",0.333333333333333,0.666666666666667,0.428571428571429,0.333333333333333,1,0.333333333333333,0,0.25
"SP29",0,0,0,0,0,0,0,0
"OXSR1",0,0,0,0,0,0,0,0
"GGPS1",0,0,0,0,0,0,0,0
"FGF19",0.5,0.333333333333333,0.428571428571429,0.833333333333333,0.666666666666667,0.444444444444444,0.571428571428571,0.625
"LDOC1",1,0.666666666666667,1,1,1,0.777777777777778,1,1
"HSPA4L",0,0,0,0,0,0,0,0
"PTBP3",0,0,0,0,0,0,0,0
"STARD3NL",1,1,1,1,1,0.888888888888889,1,0.875
"LSM8",0,0,0,0,0,0,0,0
"AP2A1",0,0,0,0,0,0,0,0
"WIZ",0.166666666666667,0.333333333333333,0.285714285714286,0.166666666666667,0.555555555555556,0.222222222222222,0.571428571428571,0.375
"DDX58",0,0,0,0.166666666666667,0,0,0,0
"STAU1",0,0,0,0,0,0,0,0
"TTC4",0,0,0,0,0,0,0,0
"SDPR",0,0.166666666666667,0,0.166666666666667,0.222222222222222,0,0,0.125
"BAG2",0,0,0,0,0,0,0,0
"BAG3",0,0,0,0,0,0,0,0
"MAP4K4",0,0,0,0,0,0,0,0
"MLYCD",0,0.166666666666667,0,0.166666666666667,0.111111111111111,0.111111111111111,0,0
"CRYZL1",0,0,0,0,0,0,0,0
"AIFM1",0,0,0,0,0,0,0,0
"CLDN1",0.5,1,0.857142857142857,1,1,0.777777777777778,0.571428571428571,0.875
"CLIC3",0.333333333333333,0.666666666666667,0.142857142857143,0.833333333333333,0.444444444444444,0.111111111111111,0,0
"EML2",0,0,0,0,0,0,0,0
"LATS1",0.333333333333333,0,0.285714285714286,0.166666666666667,0.333333333333333,0,0,0.125
"G14",0.666666666666667,0.5,0.428571428571429,0.333333333333333,0.444444444444444,0.777777777777778,0.428571428571429,0.75
"NUDT14",0.166666666666667,0.5,0.714285714285714,0.833333333333333,0.333333333333333,0.111111111111111,0.142857142857143,0.75
