"","LOXIMVI","M14","MALME3M","MDAMB435","SKMEL2","SKMEL28","SKMEL5","UACC257","UACC62","X786O","A498","A549","ACHN","BT549","CAKI1","CCRFCEM","COLO205","DU145","EKVX","HCC2998","HCT116","HCT15","HL60","HOP62","HOP92","HS578T","HT29","IGROV1","K562","KM12","MCF7","MDAMB231","MDAMB468","MOLT4","NCIADRES","NCIH226","NCIH23","NCIH322M","NCIH460","NCIH522","OVCAR3","OVCAR4","OVCAR5","OVCAR8","PC3","RPMI8226","RXF393","SF268","SF295","SF539","SKOV3","SN12C","SNB19","SNB75","SR","SW620","T47D","TK10","U031","U251"
"FMN2",1,1,1,1,1,1,1,1,0.5,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0.5,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0
"SSH1",1,1,1,1,1,1,1,1,0.5,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0
"OXD1",1,0.5,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0.5,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1
"MAP4K2",1,1,1,1,0.5,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0.5
"PIGS",1,1,1,1,1,1,0.5,1,1,1,0,1,0,0.5,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
"IGFBP7",1,1,0.5,1,1,1,0.5,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5,1,1,0,0,0,1,1,0.5,1,1,0,1,1,1,0,1,1,1,1
"PPP2R3A",1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0.5,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"GAS6",1,1,1,1,1,0.5,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0,1,1,1
"TOR1AIP2",1,0.5,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0.5,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
"TECPR2",1,0.5,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0.5,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1
