"","X786O","A498","A549","ACHN","BT549","CAKI1","CCRFCEM","COLO205","DU145","EKVX","HCC2998","HCT116","HCT15","HL60","HOP62","HOP92","HS578T","HT29","IGROV1","K562","KM12","LOXIMVI","M14","MALME3M","MCF7","MDAMB231","MDAMB435","MDAMB468","MOLT4","NCIADRES","NCIH226","NCIH23","NCIH322M","NCIH460","NCIH522","OVCAR3","OVCAR4","OVCAR5","OVCAR8","PC3","RPMI8226","RXF393","SF268","SF295","SF539","SKMEL2","SKMEL28","SKMEL5","SKOV3","SN12C","SNB19","SNB75","SR","SW620","T47D","TK10","U031","U251","UACC257","UACC62"
"CLUAP1",0,1,1,1,0,1,1,1,0,1,0.5,0,1,0,0,0,1,0,1,0,1,0.5,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0.5,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0
"PLIN4",1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1
"MAP3K5",1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0.5,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0.5,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1
"APOO",1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0.5,1,1,1,0.5,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0.5,1,1,1,0,0,0,1,0.5,1,1,1,0,1,1,1,1,0,0,1,0.5,1,0
"IMUP",1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0.5,0,0.5,1,1,0,0.5,1,1,1,0,1,1,0.5,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0.5,0.5,1,1,1,0.5,0,0,0
"SLC38A1",1,0,0,0,1,0,1,0,1,1,1,0.5,1,1,0.5,1,1,1,1,1,0,1,1,0,1,0,1,0.5,1,0,0,1,0,1,1,1,1,0.5,0,1,1,0,1,0,1,1,1,0.5,1,0,0,0,1,1,0,0,1,1,0.5,1
"SDHAF3",0.5,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0.5,1,1,1,0,1,0,0,0.5,0,0.5,1,0.5,0,1,0,1,1,1,0.5,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0.5,1,0,0,0,0,1,0
"DUSP22",0,1,1,0,0,1,0,1,1,1,0,0.5,1,1,0,0,0,0,0,1,0.5,0,1,1,1,0,1,0.5,0,1,1,1,0,1,1,1,1,0.5,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1
"SAGE1",0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0.5,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0.5
"SPHK1",1,1,1,0,0,0.5,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0.5,0,1,0,0,1,0.5,1,0,1,1
"CNIH4",1,1,1,0,1,1,0,1,0,0.5,1,0,1,1,0,1,0,0,1,0.5,0.5,1,0.5,1,0,1,0,1,0.5,0,1,1,1,1,0,0,0,0,1,1,0,0,0.5,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0,1,1,0
"EMC3",1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0
"ZNF629",1,0,1,1,1,0,1,1,1,1,1,1,0.5,1,0,0.5,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0
"RAB22A",1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0.5,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0.5,1,0,1,0,1,1,0,0
"PPT2",0,1,1,1,0,1,1,1,0,1,0.5,0,0,1,1,0,1,0,1,1,0.5,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0.5,1,1,1,1,1,0.5,1,1,0,0,0,0,0,0,0,0,0.5,1,1,1,1,0,1,1
"TNN",0,1,1,0,0,0,0,1,1,1,1,0.5,1,1,0,0,1,0,0,0,0,1,0.5,1,1,1,0,0.5,0,1,1,1,1,1,0.5,1,1,0.5,0,0.5,0,1,0,1,1,1,1,1,1,0.5,1,1,0.5,1,1,1,0,1,1,1
"SLC5A6",1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0.5,0
"DIP2C",0,1,1,1,0.5,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0
"R3HDM2",0,1,0,0,1,0,1,1,1,1,0.5,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0.5,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1
"C17orf104",1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1
"TRAF5",0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0
"CES2",1,1,0,1,1,1,1,0.5,0,1,1,0,1,1,0,0,1,0,0.5,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0.5,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1
"SLC16A3",1,1,1,0,0.5,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,0,0,1,1,0.5,0,1,0,0,1,0,1,1,1,1,0.5,0,0.5,1,0.5,1,1,0,0.5,0.5,1,0,0,0,1,1,1,1,1,1,0,0.5,1,1,0,0
"TMPRSS11D",1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0.5,1,1,0.5,0,1,0,1,0,1,0,0,1,1,1,1,1,0.5,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0.5,1,1,0,0
"DFFB",0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0.5,1,1,0,0,1,1,1,0,0,1,1,1,1
"ITGB3",1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0.5,0,1,1,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1
"GLDC",1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1
"SLC6A6",1,0.5,1,0,1,0,1,1,1,1,0,1,1,1,1,0.5,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0.5,0.5,1,0,0,1,1,1,1,1,0,1,1,1,0.5,1,1,0,1,0,1,0
"STX2",1,1,0,1,1,0.5,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0.5,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0
"PIK3CG",1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1
"CRIP1",0.5,1,1,1,1,0.5,1,1,1,1,1,1,0.5,1,1,1,0,1,1,0,1,0,0,0,0.5,1,0,0.5,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0.5,1,0,0,1,1,1,0.5,1,0,0,0
"CLCN7",1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0.5,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1
"MAP2K6",0.5,1,1,1,0,1,1,1,0,1,1,0,0,1,0.5,0,0,0.5,1,0.5,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0.5,1,0,1,0,0,0,1,1,1,1,1,0.5,0,0.5,1,1,1,1,1,1,1,1,1
"FOSB",1,1,1,0,1,1,0,1,1,0.5,1,0.5,1,0.5,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0.5,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0
"PKNOX1",1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1
"GI1",1,1,1,1,1,0.5,0,0,1,1,0,1,0.5,1,1,1,0.5,0,1,0,1,1,1,0,0,0.5,0,0.5,0,1,1,1,0.5,1,0.5,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0.5,1,0.5,1,0.5,1,1,1,0,1
"E2F1",1,1,0.5,1,1,1,0,1,0.5,1,0,1,1,0.5,0,0,0,0,0.5,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0.5,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0.5,1,1,1,0,1,0,0
"RUNX2",1,1,1,0.5,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
"LRP8",1,1,0,0,0.5,1,1,0,1,0.5,1,1,1,1,1,1,0.5,0,1,0.5,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0.5,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0.5,1,1,1,0
"GALNT3",1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0.5,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1
"FGFBP1",1,0,0,0,0,0,0.5,0.5,1,0.5,1,1,1,1,0.5,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0.5,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1
"SLMAP",1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0.5,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1
"CCDC85B",0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0.5,1
"GNPTAB",0.5,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.5,1,0,1,1,1,0.5,1,0,0.5,1,1,1,1,1,1,0.5,1,0.5,0,0,0,1,1,1,1,1,1,0,0,1,0.5,1,0,0,0,0,1,1
"MRPL51",1,1,1,0,1,0.5,1,1,1,1,1,1,1,1,0,1,0,0.5,1,1,1,1,1,0,1,1,0,1,1,0.5,1,0.5,0,1,1,1,0.5,0.5,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0.5,0.5,1,0,1,0
"DALRD3",1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0
"ANXA8L2",1,0,1,0,1,0,1,1,0.5,1,1,1,1,1,1,1,0,1,0,0,0,0.5,0,1,0,1,1,1,0,1,1,1,1,1,0,0.5,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0.5,0,0,1,0,0,0
"B3GNTL1",0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0.5,1,1,1,1,1,1,0,0,0,0.5,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1
"INO80C",0,0.5,1,1,0.5,0.5,1,1,1,0.5,1,1,0.5,1,0.5,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0.5,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0.5,1,0.5,1,1,1,1,1,0,1
"HAGHL",0,1,0,0,1,0,0,1,1,1,0.5,0,1,1,0,1,0,1,1,0,0.5,0,1,0,1,1,1,0,0,1,1,1,0.5,0.5,0.5,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.5,1,1,0.5,1,0,1,1,1
"PAPD4",1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1
"SPAG17",0,1,1,0,0,0.5,1,1,1,1,0,0.5,1,1,0,1,0,1,1,0.5,1,0.5,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0.5,0,1,0,0,0,0,1,1,1,1,0.5,1,0.5,1,0,1,1,1,1,1
"NPHP3",0.5,1,1,1,1,0,1,0,1,1,0,0,0,1,0.5,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0.5,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0.5,1,1,0,1,1,1,1,1,0
"APOBEC3F",0,1,1,1,0.5,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
"V2",0,1,0,0.5,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0.5,1,0,0.5,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"GALNT12",1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0.5,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0.5,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
"CLYBL",1,0,0,1,0,1,0,1,0.5,1,1,1,1,1,1,0,0,0.5,1,0.5,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0.5,0.5,1,1,1,0,0.5,1
"PDCD7",0,0,1,1,1,0,1,1,1,1,1,1,0.5,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0.5,1,1,1,0,0,1,1,0,1,0,0,1,0
"EXPH5",0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0.5,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0.5,0.5,0,1,1,1,1,0,1,0,1,1
"SPATA18",1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0
"MORC4",1,1,1,1,0,1,0,1,1,1,1,0.5,1,0,1,1,0,1,0.5,0,1,0.5,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0.5,1,1,0,1,0,1,1,0,0,1
"C5orf30",1,1,1,1,1,0,1,0,1,0,0,1,1,0.5,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0.5,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0.5
"LIN37",1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0.5,1,0,0.5,0,0.5,1,1,1,0,1,0,0,0,1,0,0,0,1,0.5,0.5,1,1,1,1,0,1,1,1,0
"SH3YL1",0,1,1,0,1,0.5,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0.5,1,1,0,0,1,1,1,0.5,0.5,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0
"C9orf72",1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1
"MCEE",0,1,0,0,1,0,1,1,1,1,1,0.5,1,1,0,0.5,0,0.5,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0.5,1,1,1,1,0,1,1,0,1,0
"TMEM43",1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0
"OSBPL8",1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0.5,1,0,1,0,1,1,1,0,0.5,1,0,1,0,0,1,0,1,1,0.5,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0
"WWP1",1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0.5,0,1,0,0,0,1,0,0,1,1
"PRR36",0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0.5,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1
"CD320",1,1,0.5,0,1,1,1,1,1,1,0.5,0.5,1,1,0.5,1,0,0,1,1,1,0.5,1,0.5,0,1,1,0.5,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0.5,1,1,1,0.5,1,1,1,1,0.5,0,0.5,1,1,1,1
"DISC1",1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1
"GLRX2",0,1,1,0,1,1,0,1,1,0.5,1,1,1,1,1,1,1,0,0,1,1,0.5,1,1,0,1,0,1,1,0.5,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0.5,0,0,0.5,1,1,0.5
"SAMSN1",1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0.5,1,0,0,1,1,0,0,1
"EHD3",0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0.5,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1
"CPNE7",0,1,1,1,1,1,0.5,0.5,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1
"DJB9",0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0.5,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1
"STAP2",1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0.5,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0
"DCDC2",1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0.5,0.5,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
"WASF3",0,0,0.5,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0.5,0,0,1,1,1,0.5,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1
"CAMK2A",0,1,1,0,0.5,0,1,0,1,1,0,1,0,1,1,1,0.5,1,0,1,0,1,1,0.5,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0.5,1,1,1,0,0,0,1,1,1
"PDE10A",1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0.5,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0
"RNF6",0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0
"TMX2",1,0.5,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0.5,1,0,0,1,1,0,0,1,1,1,0,1,1
"TRPV2",0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1
"SNX10",1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0.5,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1
"RAB19",1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0.5,1,1,0,1,0,0,0,0,1,1,1,0,1,1
"SAC3D1",1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0.5,0,0.5,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1
"TBX3",1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0.5,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1
"OIP5",1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0.5,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1
"SYNGR1",1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0.5,1,1,1,1,1,1,1,1,0,1,1,1,0.5,0,1,1,0,0,1,1,0,1,1,1,1,1,0.5,1,0.5,0,0.5,0,0.5,1,1,1
"MAN1A2",1,0,0,0,0,0,1,1,1,1,0.5,0.5,1,1,0,1,0,0,1,1,0.5,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0
"DEPDC5",1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
"VTN",1,1,1,0.5,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0.5,0,1,0,1,1,1,1,0.5,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0.5,1,1,1,0,0,1
"FES",0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1
"ALOX15",0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0.5,1,0,0,0,0,1,0,1,1,1,1,1
"EPCAM",1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0.5,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0
"SYN1",0,1,1,1,1,0.5,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0.5,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0.5
"MDK",0,0,0.5,1,1,0,0,1,1,0,1,1,0.5,0,1,1,1,1,1,1,0,1,0,0,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0
"CASP1",0.5,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0.5,0,1,1,1,1,0,1,1,1,1,1,0.5,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0.5,1,0,1,1
"PRSS3",0,0,0,1,1,1,0.5,1,0.5,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0.5,0,1,0,1,0,1,0.5,1,1,0.5,1,0.5,1,1,0,0,0,0.5,1,0.5,1,1,1,0,0,1,1,1,1
"CHN2",0,1,1,0,0,1,0,0,0,0,0,1,0,0.5,1,0,0.5,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0.5,1,1,1,1
