"","X786O","A498","A549","ACHN","BT549","CAKI1","CCRFCEM","COLO205","DU145","EKVX","HCC2998","HCT116","HCT15","HL60","HOP62","HOP92","HS578T","HT29","IGROV1","K562","KM12","LOXIMVI","M14","MALME3M","MCF7","MDAMB231","MDAMB435","MDAMB468","MOLT4","NCIADRES","NCIH226","NCIH23","NCIH322M","NCIH460","NCIH522","OVCAR3","OVCAR4","OVCAR5","OVCAR8","PC3","RPMI8226","RXF393","SF268","SF295","SF539","SKMEL2","SKMEL28","SKMEL5","SKOV3","SN12C","SNB19","SNB75","SR","SW620","T47D","TK10","U031","U251","UACC257","UACC62"
"THEM6",1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0
"WDR60",1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0.5,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1
"EME1",1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1
"TESC",0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0.5,1,1,1,0,0,1,0,1,1,1,0.5,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
"DHX58",0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0.5,1,0.5,0,0,1,0.5,1,1,0,1,0.5,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1
"B3GALT6",1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0.5,0,0.5,1,0,0,0,0,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0.5,0,1,1,0,0,0,0,0,0,0
"SENP8",0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1
"GBP4",0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0
"DLC1",0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0.5,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0.5,1,1,1,1,0,1,0,0,0,1,1,0,1,0
"IL4I1",1,1,0,0.5,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1
"SLC29A1",1,0.5,0,0,1,0,1,0,1,0.5,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
"NUDT22",0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0
"NDC1",1,0,0.5,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0.5,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0.5,1,0,1,1,1,0,0,0,0,1,0,1,0.5
"PACSIN1",0,1,0,1,1,0,0,1,1,0.5,0,1,1,1,0,1,0,1,1,0.5,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0.5,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
"RASSF4",1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0.5,1,1,1,1,1,0,0,1,1,1,1
"MTG2",0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1
"DENND2D",0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0.5,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0.5,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
"PLEKHG2",0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
"KCNK13",1,0.5,0.5,1,0,1,0,0,1,1,1,1,0.5,1,1,0,1,1,1,1,1,0,0,0.5,0.5,0.5,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0
"FANCE",1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1
"EXD2",1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0
"SMOX",1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0.5,0,0,0.5,0,0,0,0.5,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0
"TOR4A",1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0.5,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0
"PDP2",0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0.5,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0.5,1,0,1,1,0,1,1,0,1,0,1,1,0
"LIMA1",1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0.5,0,1,1,1,0,0,1,0.5,1,0,1,0
"FBXL4",0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0.5,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1
